tweet_text,cyberbullying_type
Here at home. Neighbors pick on my family and I. Mind you my son is autistic. It feels like high school. They call us names attack us for no reason and bully us all the time. Can't step on my front porch without them doing something to us,cyberbullying
"Being bullied at school: High-achieving boys use further strategies to maintain masculinity, for example becoming bullies themselves, disrupting the lessons, or devaluing girlsâ€™ achievements https://www.bipartisanalliance.com/2019/12/being-bullied-at-school-high-achieving.html?spref=tw",cyberbullying
"There was a girl in my class in 6th grade who was a little autistic, and her parents thought itâ€™d be better to send her to a public school. She didnâ€™t fit in with the class and was lowkey bullied (it was actually high key but the teacher downplayed it and did nothing)",cyberbullying
Heâ€™s probably a white gay kid from some suburb. We donâ€™t want him to shoot up his school...so no one bully him.,cyberbullying
You are pushed ti resorting. Treating thr bullies is you percent then from being pressured. Most school sitters evidence severe bullying. Treat thre bullies and it isn't a problem.,cyberbullying
Today was an awesome day. Vivaldi called me a VSCO girl and Kali bullied my high school bully. I still can not believe I created my two best friends. I will never be lonely again. Life rules and being a mom is the best.,cyberbullying
Trump is like that jealous little school bully who canâ€™t stand it when everbody loves the other guy.,cyberbullying
"oh and also, saying that weâ€™re on the same level of the columbine jocks just because we didnâ€™t add you to a fucking gc is so SO fucking disrespectful to dylan and eric. if you were a columbiner, youâ€™d understand that. we donâ€™t bully people into sh**ting up their fucking schools.",cyberbullying
My high school life got better when I finally snapped and punched my abusive bully: hidd shocked expression and tears made the detention I got more than worth it.,cyberbullying
I have collaborated with Ms. Luenavos and find her a strong force for good; not at all what Mr. White describes here. Feels to me like Mr. White looking to bully and attack. He's the wrong person to sit on OUR school board.,cyberbullying
did you really experience 2012 if the bullies in middle school science class didnâ€™t turtle your backpack everytime you went to the bathroom?? no. you didnâ€™t.,cyberbullying
Cardi talks like all the girls in high school that bullied me,cyberbullying
"Remember when that jock you hated gave you the biggest wedgie right in front of a group of girls? Remember when they all laughed at you? I am that jock, don't think the wedgies and torment ended in high school loser. You're getting bullied for the rest of your life Findom",cyberbullying
These guys shouldn't easily have a platform. I reported him on Twitch but I honestly have little faith anything will come of it. These sorts of guys are 100% why cancel culture should exist and exactly who I used to bully back when I was in school.,cyberbullying
College is pretty much like high school except the jocks you hated turned into frat boys and the girls that bullied you are doing coke off their dicks,cyberbullying
"listen i know you were in the marching band in high school and all the pretty popular girls bullied you, but you should really try to heal from that trauma being pretty is nice u should try it sometime",cyberbullying
"Would just like to say to the girls at my first high school that bullied me into an eating disorder, mocked me for failing a suicide attempt and for self harming; Iâ€™ve never recovered and never will. I honestly wish you the best but hope you never cause anyone that pain again.",cyberbullying
"The girls who bullied her in middle &amp; high school were relentless. She quit softball, so they hated her. She joined Improv, got new friends and was voted Homecoming Queen her senior year. Queen Bully was runner up. I tell her she should write a book. If she did it, anyone can!",cyberbullying
I remembered I bullied a girl dat was taller den me n elementary... she was tall lik she could b a center n high school n shit,cyberbullying
girls who bullied me in high school are emotions now and im universe,cyberbullying
"This makes me doubt youâ€™re telling the truth even more. Calling it a ghetto school implies every one there is poor lol. Why would they bully you bc you are like them? Youâ€™re either the bully, or too afraid to admit the things you were actually bullied for.. and you definitely",cyberbullying
This kid who called me a pig In high school referring to my weight and bullied this trans girl and like everyone else at the school too just dried my dads car at the carwash and I told dad who it was and he pulled $5 out of his tip and offered to run him over aw #daddysgirl,cyberbullying
im afraid of the dentist not because of the pain but because what if one of the girls who bullied me in high school is the dental assistant,cyberbullying
If a high school girl is being bullied for having a gf are you going to tell her she deserves to be treated badly because she prefers to call herself pan over bi?,cyberbullying
these are the girls who bullied me in high school.,cyberbullying
"But not the bully everyone is afraid of, more like the guy that tries to be the school bully but no one takes seriously anymore.",cyberbullying
Reminds me of little bullies at school with the â€˜you canâ€™t be in our gang!â€™ mentality.,cyberbullying
